,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,zip_codes
0,HFOiW4RvijuoblE4DD3JwA,dekalb-market-hall-brooklyn-2,Dekalb Market Hall,https://s3-media1.fl.yelpcdn.com/bphoto/p3HJcEcHV7KuX0XVh30KUA/o.jpg,False,https://www.yelp.com/biz/dekalb-market-hall-brooklyn-2?adjust_creative=J91G_3nDqiq9b7aC-H5U7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=J91G_3nDqiq9b7aC-H5U7w,654,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.0,"{'latitude': 40.691025, 'longitude': -73.983311}","['pickup', 'delivery']",$$,"{'address1': '445 Albee Square W', 'address2': 'Basement Level', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['445 Albee Square W', 'Basement Level', 'Brooklyn, NY 11201']}",+19293596555,(929) 359-6555,15.053870514444519,11201
1,0lMLRsJZSh2Uh1Eo0YrMPA,eight-turn-crêpe-brooklyn,Eight Turn Crêpe,https://s3-media2.fl.yelpcdn.com/bphoto/37p3UOqhrIWFwG8BlNFvOQ/o.jpg,False,https://www.yelp.com/biz/eight-turn-cr%C3%AApe-brooklyn?adjust_creative=J91G_3nDqiq9b7aC-H5U7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=J91G_3nDqiq9b7aC-H5U7w,580,"[{'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'catering', 'title': 'Caterers'}]",4.0,"{'latitude': 40.6912509, 'longitude': -73.9832589}","['pickup', 'delivery']",$$,"{'address1': '445 Albee Square W', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['445 Albee Square W', 'Brooklyn, NY 11201']}",+19293587988,(929) 358-7988,7.201621486480559,11201
2,LWDX1jKrNE8334jF6XenYQ,juniors-restaurant-brooklyn-4,Junior's Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/Uvx5Psf1IhBE8LW_Kw7Qbg/o.jpg,False,https://www.yelp.com/biz/juniors-restaurant-brooklyn-4?adjust_creative=J91G_3nDqiq9b7aC-H5U7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=J91G_3nDqiq9b7aC-H5U7w,1673,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'diners', 'title': 'Diners'}]",3.5,"{'latitude': 40.6901654162858, 'longitude': -73.9819239670089}","['pickup', 'delivery']",$$,"{'address1': '386 Flatbush Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['386 Flatbush Ave', 'Brooklyn, NY 11238']}",+17188525257,(718) 852-5257,141.69435259086043,11238
3,ysqgdbSrezXgVwER2kQWKA,julianas-pizza-brooklyn-5,Juliana's Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/clscwgOF9_Ecq-Rwsq7jyQ/o.jpg,False,https://www.yelp.com/biz/julianas-pizza-brooklyn-5?adjust_creative=J91G_3nDqiq9b7aC-H5U7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=J91G_3nDqiq9b7aC-H5U7w,2164,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 40.7026153030093, 'longitude': -73.9934159993549}",[],$$,"{'address1': '19 Old Fulton St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['19 Old Fulton St', 'Brooklyn, NY 11201']}",+17185966700,(718) 596-6700,1550.9192497933473,11201
4,ZTsN8TdMXl8SW_AKd_ablw,forno-rosso-brooklyn,Forno Rosso,https://s3-media2.fl.yelpcdn.com/bphoto/9aKNymymd9out1HSpkLuiA/o.jpg,False,https://www.yelp.com/biz/forno-rosso-brooklyn?adjust_creative=J91G_3nDqiq9b7aC-H5U7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=J91G_3nDqiq9b7aC-H5U7w,676,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.694467, 'longitude': -73.98293}","['pickup', 'delivery']",$$,"{'address1': '327 Gold St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['327 Gold St', 'Brooklyn, NY 11201']}",+17184513800,(718) 451-3800,379.69020456769783,11201
5,c8TfKT7NdTuwcBZatXHmzg,new-york-transit-museum-brooklyn,New York Transit Museum,https://s3-media1.fl.yelpcdn.com/bphoto/FLDVFXKedjCwnHKpibMj_Q/o.jpg,False,https://www.yelp.com/biz/new-york-transit-museum-brooklyn?adjust_creative=J91G_3nDqiq9b7aC-H5U7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=J91G_3nDqiq9b7aC-H5U7w,406,"[{'alias': 'museums', 'title': 'Museums'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.5,"{'latitude': 40.6905279416182, 'longitude': -73.9899399429917}",[],,"{'address1': 'Boerum Pl Schermerhorn St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['Boerum Pl Schermerhorn St', 'Brooklyn, NY 11201']}",+17186941600,(718) 694-1600,576.6368101537987,11201
6,jWC4mD-yy-IzuZxU5ctAKw,mias-bakery-brooklyn,Mia's Bakery,https://s3-media1.fl.yelpcdn.com/bphoto/CjvLo6vsxDjaLCgyLpGUKg/o.jpg,False,https://www.yelp.com/biz/mias-bakery-brooklyn?adjust_creative=J91G_3nDqiq9b7aC-H5U7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=J91G_3nDqiq9b7aC-H5U7w,658,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"{'latitude': 40.6870199, 'longitude': -73.9901299}","['pickup', 'delivery']",$,"{'address1': '139 Smith St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['139 Smith St', 'Brooklyn, NY 11201']}",+13479873194,(347) 987-3194,736.2770323248022,11201
7,Aazjxg21VH2cncWYBAv68Q,sottocasa-pizzeria-brooklyn-3,Sottocasa Pizzeria,https://s3-media2.fl.yelpcdn.com/bphoto/MbBAMb3kb1VXtF9M5ptazA/o.jpg,False,https://www.yelp.com/biz/sottocasa-pizzeria-brooklyn-3?adjust_creative=J91G_3nDqiq9b7aC-H5U7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=J91G_3nDqiq9b7aC-H5U7w,616,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 40.688285, 'longitude': -73.989006}",['delivery'],$$,"{'address1': '298 Atlantic Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['298 Atlantic Ave', 'Brooklyn, NY 11201']}",+17188528758,(718) 852-8758,582.19068009217,11201
8,tT6teP3ZfCAfvdPdDoqG4A,ki-sushi-brooklyn,Ki Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/bmx2oObtubmcdZK-9_ZLSw/o.jpg,False,https://www.yelp.com/biz/ki-sushi-brooklyn?adjust_creative=J91G_3nDqiq9b7aC-H5U7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=J91G_3nDqiq9b7aC-H5U7w,688,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,"{'latitude': 40.68764, 'longitude': -73.9901}",[],$$,"{'address1': '122 Smith St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['122 Smith St', 'Brooklyn, NY 11201']}",+17189350575,(718) 935-0575,694.2684069358872,11201
9,wctR1TrheHAwpHZ2sJknEw,yemen-cafe-and-restaurant-brooklyn-3,Yemen Cafe & Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/naw33McdBGb70-6qc5go4A/o.jpg,False,https://www.yelp.com/biz/yemen-cafe-and-restaurant-brooklyn-3?adjust_creative=J91G_3nDqiq9b7aC-H5U7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=J91G_3nDqiq9b7aC-H5U7w,505,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 40.6899167976363, 'longitude': -73.9936561765076}",['pickup'],$$,"{'address1': '176 Atlantic Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['176 Atlantic Ave', 'Brooklyn, NY 11201']}",+17188349533,(718) 834-9533,895.9350427139213,11201
