id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,zip_codes
ysqgdbSrezXgVwER2kQWKA,julianas-pizza-brooklyn-5,Juliana's Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/clscwgOF9_Ecq-Rwsq7jyQ/o.jpg,False,https://www.yelp.com/biz/julianas-pizza-brooklyn-5?adjust_creative=br0caLDEdTejZqAl4hMenA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=br0caLDEdTejZqAl4hMenA,2163,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 40.7026153030093, 'longitude': -73.9934159993549}",[],$$,"{'address1': '19 Old Fulton St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['19 Old Fulton St', 'Brooklyn, NY 11201']}",+17185966700,(718) 596-6700,859.4540969415092,11201
2ggi1luerd3Mf_C82JvCYg,grimaldis-pizzeria-brooklyn-4,Grimaldi's Pizzeria,https://s3-media2.fl.yelpcdn.com/bphoto/TNKqW31PTvtSw6-Lbc1mtA/o.jpg,False,https://www.yelp.com/biz/grimaldis-pizzeria-brooklyn-4?adjust_creative=br0caLDEdTejZqAl4hMenA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=br0caLDEdTejZqAl4hMenA,4599,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'latitude': 40.702583, 'longitude': -73.9932413}",[],$$,"{'address1': '1 Front St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['1 Front St', 'Brooklyn, NY 11201']}",+17188584300,(718) 858-4300,860.3906370551794,11201
riGhXci7Xo-Gp9gtl5IBYA,brooklyn-bridge-park-brooklyn-3,Brooklyn Bridge Park,https://s3-media2.fl.yelpcdn.com/bphoto/-o3O0Q2hVO-88ep7WbQrPA/o.jpg,False,https://www.yelp.com/biz/brooklyn-bridge-park-brooklyn-3?adjust_creative=br0caLDEdTejZqAl4hMenA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=br0caLDEdTejZqAl4hMenA,515,"[{'alias': 'parks', 'title': 'Parks'}]",4.5,"{'latitude': 40.7016262778116, 'longitude': -73.9972114562988}",[],,"{'address1': '334 Furman St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['334 Furman St', 'Brooklyn, NY 11201']}",+17182229939,(718) 222-9939,716.7013477413558,11201
PAqdplgKhagEx9ewNDxjZw,brooklyn-heights-promenade-brooklyn,Brooklyn Heights Promenade,https://s3-media1.fl.yelpcdn.com/bphoto/ezQlffLwmtaXTU9u-xdm2w/o.jpg,False,https://www.yelp.com/biz/brooklyn-heights-promenade-brooklyn?adjust_creative=br0caLDEdTejZqAl4hMenA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=br0caLDEdTejZqAl4hMenA,315,"[{'alias': 'parks', 'title': 'Parks'}]",5.0,"{'latitude': 40.6979309758759, 'longitude': -73.9971359844473}",[],,"{'address1': 'Columbia Heights', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['Columbia Heights', 'Brooklyn, NY 11201']}",+12126399675,(212) 639-9675,309.2649316107903,11201
mvn2XFJfIPNAlvsy-arzkA,brooklyn-bridge-brooklyn,Brooklyn Bridge,https://s3-media2.fl.yelpcdn.com/bphoto/o5mJWBJ-MkHN-t7XdxhBRg/o.jpg,False,https://www.yelp.com/biz/brooklyn-bridge-brooklyn?adjust_creative=br0caLDEdTejZqAl4hMenA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=br0caLDEdTejZqAl4hMenA,1348,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,"{'latitude': 40.7059677364821, 'longitude': -73.9966657489186}",[],,"{'address1': '334 Furman St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['334 Furman St', 'Brooklyn, NY 11201']}",+17187246434,(718) 724-6434,1196.0773938128348,11201
wctR1TrheHAwpHZ2sJknEw,yemen-cafe-and-restaurant-brooklyn-3,Yemen Cafe & Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/naw33McdBGb70-6qc5go4A/o.jpg,False,https://www.yelp.com/biz/yemen-cafe-and-restaurant-brooklyn-3?adjust_creative=br0caLDEdTejZqAl4hMenA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=br0caLDEdTejZqAl4hMenA,505,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 40.6899167976363, 'longitude': -73.9936561765076}",['pickup'],$$,"{'address1': '176 Atlantic Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['176 Atlantic Ave', 'Brooklyn, NY 11201']}",+17188349533,(718) 834-9533,631.3606961028182,11201
c8TfKT7NdTuwcBZatXHmzg,new-york-transit-museum-brooklyn,New York Transit Museum,https://s3-media1.fl.yelpcdn.com/bphoto/FLDVFXKedjCwnHKpibMj_Q/o.jpg,False,https://www.yelp.com/biz/new-york-transit-museum-brooklyn?adjust_creative=br0caLDEdTejZqAl4hMenA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=br0caLDEdTejZqAl4hMenA,407,"[{'alias': 'museums', 'title': 'Museums'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.5,"{'latitude': 40.6905279416182, 'longitude': -73.9899399429917}",[],,"{'address1': 'Boerum Pl Schermerhorn St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['Boerum Pl Schermerhorn St', 'Brooklyn, NY 11201']}",+17186941600,(718) 694-1600,750.8871829876904,11201
CBf1A4zCRNH-jsrJh48RsA,sahadis-brooklyn,Sahadi's,https://s3-media4.fl.yelpcdn.com/bphoto/7dMMKZoQ10KKvLiE-6C0DQ/o.jpg,False,https://www.yelp.com/biz/sahadis-brooklyn?adjust_creative=br0caLDEdTejZqAl4hMenA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=br0caLDEdTejZqAl4hMenA,369,"[{'alias': 'intlgrocery', 'title': 'International Grocery'}, {'alias': 'delis', 'title': 'Delis'}]",4.5,"{'latitude': 40.690218, 'longitude': -73.993367}",[],$$,"{'address1': '187 Atlantic Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['187 Atlantic Ave', 'Brooklyn, NY 11201']}",+17186244550,(718) 624-4550,615.7484068982976,11201
kViIWJFfAfWPpJOwAXBKGA,national-september-11-memorial-museum-new-york,National September 11 Memorial Museum,https://s3-media2.fl.yelpcdn.com/bphoto/yoe6Wha7gQlTBNIeFO0UhQ/o.jpg,False,https://www.yelp.com/biz/national-september-11-memorial-museum-new-york?adjust_creative=br0caLDEdTejZqAl4hMenA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=br0caLDEdTejZqAl4hMenA,1415,"[{'alias': 'museums', 'title': 'Museums'}]",4.5,"{'latitude': 40.71143, 'longitude': -74.012481}",[],,"{'address1': '180 Greenwich St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10007', 'country': 'US', 'state': 'NY', 'display_address': ['180 Greenwich St', 'New York, NY 10007']}",+12122665211,(212) 266-5211,2258.2489254547054,10007
uT9AowKJcAN59Mteud36lA,shake-shack-brooklyn,Shake Shack,https://s3-media2.fl.yelpcdn.com/bphoto/k_uTONamesGctrFjsguF3g/o.jpg,False,https://www.yelp.com/biz/shake-shack-brooklyn?adjust_creative=br0caLDEdTejZqAl4hMenA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=br0caLDEdTejZqAl4hMenA,853,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.0,"{'latitude': 40.6920881, 'longitude': -73.9888694}",['delivery'],$$,"{'address1': '409 Fulton St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['409 Fulton St', 'Brooklyn, NY 11201']}",+17183077599,(718) 307-7599,720.3378599898291,11201
