high_value,agi_sum,zip,aff_perc
673987,921774,10280,0.7311846504674682
1389188,1472965,10282,0.943123563696354
406468,1304009,10301,0.3117064376089429
236994,1089205,10308,0.2175843849413104
270514,987520,11361,0.27393267984445885
142769,478554,11366,0.29833414828838545
34729,1506903,11368,0.02304660618500328
67887,623704,11370,0.1088449007862704
249207,1689051,11372,0.1475426141661797
122023,1844513,11373,0.06615458931436102
299965,1485752,11374,0.20189439421922367
1414697,3511152,11375,0.4029153394669328
196582,2028614,11377,0.09690458608685536
142886,994754,11378,0.14363953299006588
283569,1270390,11379,0.22321413109360116
2124296,3826607,7302,0.5551382726263763
261006,1510841,7305,0.1727554388582253
168491,1155959,7307,0.1457586298475984
541607,1056170,7310,0.5128028631754358
60673,125483,7311,0.4835156953531554
59328,1484444,11434,0.03996647903187995
1983127,2785807,10001,0.7118680511607588
854172,2489499,10002,0.3431099992408111
7134107,8764798,10003,0.8139499621097942
811060,931468,10004,0.8707330793972525
1942152,2289217,10005,0.8483913932143611
339796,493656,10006,0.688325473609153
2347778,2494873,10007,0.9410410870613454
1069537,2814678,10009,0.3799855614034714
3231398,4252196,10010,0.759936277631605
7383560,9080628,10011,0.8131111636772258
2848174,3558547,10012,0.8003755465362689
6715813,7343503,10013,0.9145244442604572
4651369,5751000,10014,0.808793079464441
6400951,8331163,10016,0.768314219755393
5233774,5902708,10017,0.8866733709341543
2087031,2425716,10018,0.8603773071538465
5785799,7220520,10019,0.8012994908953925
13074443,14303821,10021,0.9140524759083605
10952261,12031917,10022,0.9102673331273811
11808087,13623617,10023,0.8667365648931558
10469604,12001303,10024,0.8723722749104826
5088420,7336328,10025,0.693592216705687
538633,1343345,10026,0.4009640114788085
9146321,10544654,10028,0.867389389922135
594779,1890385,10029,0.31463379152923876
4610306,5666105,10036,0.8136640602318523
1114138,1767832,10038,0.6302284379963707
9612120,10451654,10065,0.9196745318970567
6483347,7263470,10075,0.8925963761122439
798736,1929483,11101,0.4139637405460426
205419,1161772,11102,0.17681524429922565
178311,1194661,11103,0.14925656734420895
203846,956182,11104,0.21318744757797156
199387,1294542,11106,0.15402126775338304
257181,1255781,11105,0.2047976518198635
420048,652092,11109,0.6441545058059293
10999781,12783790,10128,0.8604475668013946
463894,876503,7086,0.529255461761112
128916,1242872,7087,0.10372427731898377
485529,2047326,11706,0.2371527543732654
5062947,6976637,11201,0.7257002191743672
611816,1870509,11204,0.3270853013805333
519519,1428193,11205,0.3637596599339165
178241,1564849,11206,0.11390300278173805
890614,2471748,11211,0.3603174757297265
2982101,4886040,11215,0.6103308609835367
183438,1138803,10704,0.16107965995874615
1688258,2851362,11217,0.5920882722011446
560227,1832273,11222,0.3057552013264399
276599,1618463,11225,0.17090226962247515
1293298,2797808,11230,0.4622540217198607
1729183,2648560,11231,0.6528766575044552
79773,574471,11232,0.1388634065079003
126049,1375259,11233,0.09165473558071607
55406,956073,11237,0.057951641767940314
1283320,3020929,11238,0.4248097191294466
