id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,zip_codes
xOw4aafJRji9XomGunlvcQ,central-park-new-york,Central Park,https://s3-media2.fl.yelpcdn.com/bphoto/ru79-OUEcTI2_yVQqZBTjQ/o.jpg,False,https://www.yelp.com/biz/central-park-new-york?adjust_creative=ZcV07Slk8KSZ8NPa3qhh8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZcV07Slk8KSZ8NPa3qhh8Q,2403,"[{'alias': 'parks', 'title': 'Parks'}]",5.0,"{'latitude': 40.782418740809, 'longitude': -73.9656022837641}",[],,"{'address1': '14 E 60th St', 'address2': '', 'address3': 'Central Park Conservancy', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['14 E 60th St', 'Central Park Conservancy', 'New York, NY 10022']}",+12123106600,(212) 310-6600,5061.797798716636,10022
jVncyqXwlx_D9f2xZn05tg,the-metropolitan-museum-of-art-new-york-3,The Metropolitan Museum of Art,https://s3-media2.fl.yelpcdn.com/bphoto/lHEKQRcbGaaEQfVO2P3AMw/o.jpg,False,https://www.yelp.com/biz/the-metropolitan-museum-of-art-new-york-3?adjust_creative=ZcV07Slk8KSZ8NPa3qhh8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZcV07Slk8KSZ8NPa3qhh8Q,2837,"[{'alias': 'artmuseums', 'title': 'Art Museums'}]",4.5,"{'latitude': 40.779449, 'longitude': -73.963245}",[],,"{'address1': '1000 5th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1000 5th Ave', 'New York, NY 10028']}",+12125357710,(212) 535-7710,5166.853526091068,10028
hdBhZcdZGHkTESrldAObJg,la-morada-restaurant-bronx,La Morada Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/ACBPIZYcT_X3Y6o_qS420g/o.jpg,False,https://www.yelp.com/biz/la-morada-restaurant-bronx?adjust_creative=ZcV07Slk8KSZ8NPa3qhh8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZcV07Slk8KSZ8NPa3qhh8Q,166,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",4.5,"{'latitude': 40.810552, 'longitude': -73.92142}","['delivery', 'pickup']",$$,"{'address1': '308 Willis Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['308 Willis Ave', 'Bronx, NY 10454']}",+17182920235,(718) 292-0235,447.5577345354613,10454
fxGpXRxFUDzlU3Cyszu4uQ,red-rooster-harlem-new-york-3,Red Rooster Harlem,https://s3-media1.fl.yelpcdn.com/bphoto/BK_X-qnphPrz8jVDjfiqOQ/o.jpg,False,https://www.yelp.com/biz/red-rooster-harlem-new-york-3?adjust_creative=ZcV07Slk8KSZ8NPa3qhh8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZcV07Slk8KSZ8NPa3qhh8Q,3223,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.5,"{'latitude': 40.80815, 'longitude': -73.94488}",[],$$$,"{'address1': '310 Lenox Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['310 Lenox Ave', 'New York, NY 10027']}",+12127929001,(212) 792-9001,1971.7528495711465,10027
UGECJrPSWy0n7PXykBBWAQ,two-little-red-hens-new-york-4,Two Little Red Hens,https://s3-media3.fl.yelpcdn.com/bphoto/gF02Oh2PfE2OS7Nz3MqV4g/o.jpg,False,https://www.yelp.com/biz/two-little-red-hens-new-york-4?adjust_creative=ZcV07Slk8KSZ8NPa3qhh8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZcV07Slk8KSZ8NPa3qhh8Q,2561,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 40.777528, 'longitude': -73.9517869}",[],$$,"{'address1': '1652 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1652 2nd Ave', 'New York, NY 10028']}",+12124520476,(212) 452-0476,4772.967415978121,10028
fAQVVgDt88mW739YJgKQdQ,charlies-bar-and-kitchen-bronx,Charlie's Bar & Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/pksFGE7Ke_evZNwz930nBQ/o.jpg,False,https://www.yelp.com/biz/charlies-bar-and-kitchen-bronx?adjust_creative=ZcV07Slk8KSZ8NPa3qhh8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZcV07Slk8KSZ8NPa3qhh8Q,326,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"{'latitude': 40.807874991887, 'longitude': -73.9291545436554}","['delivery', 'pickup']",$$,"{'address1': '112 Lincoln Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['112 Lincoln Ave', 'Bronx, NY 10454']}",+17186842338,(718) 684-2338,902.3048278794411,10454
Bh0Rxd4Yi21luny0S95GaQ,ceetay-bronx,Ceetay,https://s3-media3.fl.yelpcdn.com/bphoto/X21q9TsJumbQRbLDA6FPxg/o.jpg,False,https://www.yelp.com/biz/ceetay-bronx?adjust_creative=ZcV07Slk8KSZ8NPa3qhh8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZcV07Slk8KSZ8NPa3qhh8Q,315,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'thai', 'title': 'Thai'}]",4.0,"{'latitude': 40.807149, 'longitude': -73.927612}","['delivery', 'pickup']",$$,"{'address1': '129 Alexander Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['129 Alexander Ave', 'Bronx, NY 10454']}",+17186187020,(718) 618-7020,904.7712678430636,10454
RI-tVET-wKFeRNKm4cg0wQ,sylvias-restaurant-new-york,Sylvia's Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/-E1VJI_pr6MrkWwNpEIRhA/o.jpg,False,https://www.yelp.com/biz/sylvias-restaurant-new-york?adjust_creative=ZcV07Slk8KSZ8NPa3qhh8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZcV07Slk8KSZ8NPa3qhh8Q,1824,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'seafood', 'title': 'Seafood'}]",3.5,"{'latitude': 40.808609, 'longitude': -73.944404}",[],$$,"{'address1': '328 Malcolm X Blvd', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['328 Malcolm X Blvd', 'New York, NY 10027']}",+12129960660,(212) 996-0660,1930.635413362086,10027
RDE8pT0YZbz4BsO_sPKbcg,mottley-kitchen-bronx-2,Mottley Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/z2Egk8b_TDnvTk-ZSIMobg/o.jpg,False,https://www.yelp.com/biz/mottley-kitchen-bronx-2?adjust_creative=ZcV07Slk8KSZ8NPa3qhh8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZcV07Slk8KSZ8NPa3qhh8Q,89,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 40.8100856240886, 'longitude': -73.9216868293002}",['pickup'],$$,"{'address1': '402 E 140th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['402 E 140th St', 'Bronx, NY 10454']}",+19293082099,(929) 308-2099,496.26067979507684,10454
tsiC3VpO-hZEb98Qk3p-DQ,amy-ruths-new-york,Amy Ruth's,https://s3-media2.fl.yelpcdn.com/bphoto/aX-TMDOSS2vO-0L47FoZ0Q/o.jpg,False,https://www.yelp.com/biz/amy-ruths-new-york?adjust_creative=ZcV07Slk8KSZ8NPa3qhh8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZcV07Slk8KSZ8NPa3qhh8Q,2573,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",4.0,"{'latitude': 40.80248, 'longitude': -73.95038}","['delivery', 'pickup']",$$,"{'address1': '113 W 116th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['113 W 116th St', 'New York, NY 10026']}",+12122808779,(212) 280-8779,2657.81273716205,10026
